"RA","Nome","Email","01-06/02","02-08/02","03-13/02","04-15/02","05-20/02","06-22/02","07-27/02","08-29/02","09-05/03","10-07/03","11-12/03","12-14/03","13-19/03","14-21/03","15-26/03","16-28/03","17-02/04","18-04/04","19-09/04","20-11/04","21-16/04","22-18/04","23-23/04","24-25/04","25-30/04","26-02/05","27-07/05","Acessos_Sem_Filtros","Total_Presencas","Faltas","Conceito"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,68,60,44,45,50,105,78,156,43,34,38,33,41,144,48,116,,,,,,,,1651,32,4,"B"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,59,,47,54,80,80,21,90,93,53,73,63,105,51,,,,,12,,,,,,,,1413,28,8,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,,,105,203,87,159,,105,156,199,58,91,86,170,173,84,,,,,,,,2667,26,10,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,,42,70,38,29,87,,57,55,,146,,35,6,,96,,,,,,,,839,22,14,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,161,,,111,,2,,66,212,,,233,,,,176,,,,,,,,,,,1021,14,22,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,54,81,44,110,225,33,271,95,104,195,134,5,,22,27,86,2,,,,,,,,1608,32,4,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,91,,108,145,122,52,90,113,116,135,,,,74,161,131,195,174,71,,,,,,,,2048,30,6,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,62,,,62,102,,8,,173,,9,,,,,,,,,,,,,,,,610,12,24,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,91,,87,91,99,26,83,,122,44,18,10,13,49,94,32,103,17,6,,,,,,,,1951,34,2,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,44,265,51,83,,97,127,59,,158,25,55,97,189,77,138,,,,,,,,2028,28,8,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,67,,123,136,237,338,259,171,271,,117,,96,4,255,221,96,75,134,,,,,,,,2895,32,4,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,84,,70,94,53,58,150,96,70,61,118,83,63,61,60,81,102,84,34,,,,,,,,1593,36,0,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,,,91,56,60,115,29,58,75,50,49,108,,,67,,,,,,,,,1281,22,14,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,93,,21,107,74,69,227,48,67,35,,63,34,35,49,34,60,82,29,,,,,,,,1270,34,2,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,77,,74,139,107,85,56,118,103,69,107,77,,,117,87,121,164,86,,,,,,,,1920,32,4,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,107,,32,267,105,97,137,42,18,62,57,87,107,60,44,60,70,20,31,,,,,,,,1428,36,0,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,116,,62,95,96,71,97,50,104,,155,116,90,,173,86,69,71,20,,,,,,,,1680,32,4,"F"
